jd wavelength flux fluxerr code cflag memo
2454199.2663881136 18 1.698843 0.113268 500 -9 akari
2454199.404411632 18 1.125317 0.075029 500 -9 akari
2454199.818465822 9 0.615269 0.034303 500 -8 akari
2454199.8874780326 9 1.162946 0.064838 500 -8 akari
2454199.9564906135 9 0.561316 0.031295 500 -8 akari
