jd wavelength flux fluxerr code cflag memo
2450993.7376662632 12.8583 6.15247 0.213257 568 999 UKIRT1998
2450993.7376662632 13.0393 6.27375 0.344203 568 999 UKIRT1998
2450993.7432215353 8.05926 2.1724 0.1007172 568 999 UKIRT1998
2450993.7432215353 8.24642 2.25723 0.06751810000000001 568 999 UKIRT1998
2450993.7432215353 8.43345 2.48117 0.079466 568 999 UKIRT1998
2450993.7432215353 8.62034 2.6991 0.106602 568 999 UKIRT1998
2450993.7432215353 8.8068 2.7481 0.101927 568 999 UKIRT1998
2450993.7432215353 8.99337 2.95826 0.121333 568 999 UKIRT1998
2450993.7432215353 9.17978 3.2927 0.130861 568 999 UKIRT1998
2450993.7432215353 9.92326 3.93417 0.127381 568 999 UKIRT1998
2450993.7432215353 10.10869 3.89833 0.128152 568 999 UKIRT1998
2450993.7432215353 10.29391 4.06431 0.115307 568 999 UKIRT1998
2450993.7432215353 10.47862 4.2523100000000005 0.31548000000000004 568 999 UKIRT1998
2450993.7432215353 10.6634 4.0987100000000005 0.117059 568 999 UKIRT1998
2450993.7432215353 10.8479 4.30163 0.124863 568 999 UKIRT1998
2450993.7432215353 11.0322 4.44966 0.109229 568 999 UKIRT1998
2450993.7432215353 11.2159 4.71039 0.15568700000000002 568 999 UKIRT1998
2450993.7432215353 11.3996 4.84704 0.18099500000000002 568 999 UKIRT1998
2450993.7432215353 11.5831 4.6815 0.10791500000000001 568 999 UKIRT1998
2450993.7432215353 11.7662 5.17351 0.11441899999999999 568 999 UKIRT1998
2450993.7432215353 11.9491 5.11791 0.17553 568 999 UKIRT1998
2450993.7432215353 12.1314 5.287170000000001 0.23472900000000002 568 999 UKIRT1998
2450993.7432215353 12.3137 5.28225 0.14801499999999998 568 999 UKIRT1998
2450993.7432215353 12.4957 5.913930000000001 0.293997 568 999 UKIRT1998
2450993.7432215353 12.6773 5.49089 0.19388300000000003 568 999 UKIRT1998
2450993.7432215353 12.8583 5.76563 0.11224200000000001 568 999 UKIRT1998
2450993.7432215353 13.0393 6.07946 0.244588 568 999 UKIRT1998
2450994.7403925494 8.05926 1.9174600000000002 0.0780296 568 999 UKIRT1998
2450994.7403925494 8.24642 2.13207 0.10779000000000001 568 999 UKIRT1998
2450994.7403925494 8.43345 2.27644 0.11795900000000001 568 999 UKIRT1998
2450994.7403925494 8.62034 2.5137600000000004 0.116915 568 999 UKIRT1998
2450994.7403925494 8.8068 2.5633600000000003 0.10896800000000001 568 999 UKIRT1998
2450994.7403925494 8.99337 2.5960300000000003 0.152492 568 999 UKIRT1998
2450994.7403925494 9.17978 3.16546 0.111001 568 999 UKIRT1998
2450994.7403925494 9.92326 3.47859 0.116944 568 999 UKIRT1998
2450994.7403925494 10.10869 3.5660100000000003 0.1051658 568 999 UKIRT1998
2450994.7403925494 10.29391 3.53337 0.08663670000000001 568 999 UKIRT1998
2450994.7403925494 10.47862 3.8313800000000002 0.23780500000000002 568 999 UKIRT1998
2450994.7403925494 10.6634 4.1823999999999995 0.139139 568 999 UKIRT1998
2450994.7403925494 10.8479 4.06243 0.12104200000000001 568 999 UKIRT1998
2450994.7403925494 11.0322 4.18148 0.13148300000000002 568 999 UKIRT1998
2450994.7403925494 11.2159 4.407520000000001 0.127551 568 999 UKIRT1998
2450994.7403925494 11.3996 4.433520000000001 0.105547 568 999 UKIRT1998
